"1","Ogrodzieniec","Zamek Ogrodzieniec – ruiny zamku leżącego na Jurze Krakowsko-Częstochowskiej, wybudowanego w systemie tzw. Orlich Gniazd, we wsi Podzamcze w województwie śląskim, w powiecie zawierciańskim, około 2 km na wschód od Ogrodzieńca. Zamek został wybudowany w XIV – XV w. przez ród Włodków Sulimczyków.","99","50"
"2","Ojców","wieś w województwie małopolskim, w powiecie krakowskim, w gminie Skała, na terenie Wyżyny Krakowsko-Częstochowskiej, w Dolinie Prądnika, na Szlaku Orlich Gniazd. W Królestwie Polskim istniała gmina Ojców. W latach 1975–1998 miejscowość położona była w województwie krakowskim. W latach 1928–1966 Ojców miał status uzdrowiska posiadającego charakter użyteczności publicznej.","40","15"
"3","Wieliczka","Kopalnia soli w Wieliczce to jedna z najstarszych kopalni soli kamiennej na świecie, wpisana na listę światowego dziedzictwa UNESCO. Trasy turystyczne prowadzą przez podziemne komory, kaplice i rzeźby solne.","85","45"
"4","Malbork","Zamek w Malborku to największy zamek gotycki w Europie i była siedziba zakonu krzyżackiego. Kompleks oferuje wystawy historyczne oraz pokazy rycerskie.","110","60"
"5","Kraków","Stare Miasto w Krakowie zachwyca architekturą, Rynkiem Głównym i Zamkiem Królewskim na Wawelu. Popularne miejsce na wycieczki edukacyjne i kulturalne.","95","55"
"6","Zakopane","Stolica polskich Tatr. Urokliwe miasteczko u podnóża gór, idealne na wypady górskie i spacery po Krupówkach. Możliwość organizacji kuligu zimą.","120","65"
"7","Toruń","Miasto Mikołaja Kopernika z piękną starówką wpisaną na listę UNESCO. Znane z pierników i gotyckiej architektury.","75","40"
"8","Biskupin","Rekonstrukcja osady sprzed ponad 2700 lat. Wizyta w Biskupinie to podróż do czasów wczesnej historii Polski.","70","35"
"9","Gdańsk","Zabytkowa starówka, ulica Długa i Żuraw nad Motławą to tylko niektóre atrakcje Gdańska. Połączenie historii i morskiego klimatu.","100","55"
"10","Kazimierz Dolny","Malownicze miasteczko nad Wisłą, znane z artystów, renesansowej architektury i pięknych widoków.","60","30"
